OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 000148,6/5/2014,9/3/2014,49,Wholesale,NZD,NXH382,53,2,10,"6,452.10","5,161.68","64,521.00"
SO - 000149,6/6/2014,8/30/2014,4,Export,USD,AXW291,19,5,6,"2,003.30",921.52,"12,019.80"
SO - 000150,6/6/2014,8/13/2014,20,Wholesale,USD,AXW291,4,5,5,"3,638.10","1,455.24","18,190.50"
SO - 000151,6/6/2014,8/3/2014,19,Export,EUR,AXW291,20,5,6,"2,278.00","1,822.40","13,668.00"
SO - 000152,6/6/2014,8/2/2014,25,Distributor,NZD,AXW291,26,13,12,924.60,582.50,"11,095.20"
SO - 000153,6/6/2014,8/11/2014,8,Wholesale,NZD,AXW291,20,7,11,"3,926.20","3,062.44","43,188.20"
SO - 000154,6/6/2014,8/13/2014,24,Export,NZD,FLR025,63,7,7,"3,825.70","2,257.16","26,779.90"
SO - 000155,6/6/2014,8/12/2014,13,Wholesale,GBP,FLR025,65,7,10,"2,257.90","1,377.32","22,579.00"
SO - 000156,6/7/2014,7/9/2014,32,Wholesale,EUR,AXW291,27,6,7,"1,112.20",756.30,"7,785.40"
SO - 000157,6/7/2014,8/1/2014,28,Wholesale,EUR,AXW291,19,3,5,"3,557.70","1,814.43","17,788.50"
SO - 000158,6/7/2014,8/31/2014,8,Distributor,USD,AXW291,11,1,7,"2,371.80","1,233.34","16,602.60"
SO - 000159,6/7/2014,7/31/2014,47,Wholesale,NZD,AXW291,11,2,12,857.60,686.08,"10,291.20"
SO - 000160,6/8/2014,7/27/2014,33,Wholesale,GBP,GUT930,43,5,11,"3,892.70","2,880.60","42,819.70"
SO - 000161,6/8/2014,7/20/2014,26,Distributor,NZD,AXW291,28,7,8,"3,477.30","1,390.92","27,818.40"
SO - 000162,6/8/2014,8/28/2014,20,Distributor,NZD,AXW291,28,7,6,"3,738.60","2,803.95","22,431.60"
SO - 000163,6/8/2014,8/18/2014,6,Wholesale,AUD,NXH382,48,7,8,"1,072.00",589.60,"8,576.00"
SO - 000164,6/8/2014,7/15/2014,40,Wholesale,NZD,AXW291,22,9,12,"2,257.90","1,761.16","27,094.80"
SO - 000165,6/8/2014,8/3/2014,23,Distributor,EUR,GUT930,42,7,5,"1,058.60",751.61,"5,293.00"
SO - 000166,6/8/2014,9/3/2014,38,Wholesale,USD,AXW291,14,9,10,"2,492.40","1,296.05","24,924.00"
SO - 000167,6/8/2014,7/20/2014,30,Wholesale,NZD,AXW291,13,2,6,"3,852.50","2,465.60","23,115.00"
SO - 000168,6/9/2014,7/10/2014,42,Wholesale,USD,GUT930,39,1,11,241.20,132.66,"2,653.20"
SO - 000169,6/9/2014,8/13/2014,1,Distributor,EUR,AXW291,6,13,5,"1,051.90",494.39,"5,259.50"
SO - 000170,6/9/2014,7/23/2014,11,Distributor,NZD,AXW291,31,5,8,227.80,107.07,"1,822.40"
SO - 000171,6/9/2014,8/7/2014,4,Wholesale,USD,FLR025,60,7,9,"1,078.70",506.99,"9,708.30"
SO - 000172,6/9/2014,8/16/2014,6,Wholesale,GBP,AXW291,18,7,6,"1,005.00",743.70,"6,030.00"
SO - 000173,6/9/2014,8/9/2014,17,Distributor,GBP,NXH382,52,7,6,"2,485.70","1,317.42","14,914.20"
SO - 000174,6/9/2014,8/20/2014,7,Distributor,EUR,AXW291,26,11,10,"2,659.90","2,154.52","26,599.00"
SO - 000175,6/10/2014,7/12/2014,1,Wholesale,NZD,AXW291,20,7,11,"2,224.40","1,579.32","24,468.40"
SO - 000176,6/10/2014,7/18/2014,27,Wholesale,AUD,FLR025,61,11,8,"2,472.30","1,260.87","19,778.40"
SO - 000177,6/10/2014,8/2/2014,33,Wholesale,GBP,GUT930,42,7,7,"1,011.70",799.24,"7,081.90"
SO - 000178,6/10/2014,8/17/2014,28,Wholesale,USD,GUT930,42,11,6,234.50,128.98,"1,407.00"
SO - 000179,6/10/2014,9/6/2014,42,Distributor,USD,AXW291,29,7,8,261.30,143.72,"2,090.40"
SO - 000180,6/10/2014,9/6/2014,5,Export,NZD,AXW291,7,1,5,"4,006.60","2,844.69","20,033.00"
SO - 000181,6/10/2014,8/6/2014,10,Distributor,AUD,GUT930,38,5,6,"1,333.30",866.65,"7,999.80"
SO - 000182,6/11/2014,7/26/2014,34,Wholesale,USD,GUT930,46,11,5,167.50,90.45,837.50
SO - 000183,6/11/2014,7/14/2014,23,Export,EUR,FLR025,61,13,5,"3,195.90","1,821.66","15,979.50"
SO - 000184,6/11/2014,8/6/2014,18,Wholesale,GBP,NXH382,56,3,10,"1,051.90",809.96,"10,519.00"
SO - 000185,6/11/2014,8/18/2014,8,Export,AUD,AXW291,2,5,9,"5,447.10","3,540.62","49,023.90"
SO - 000186,6/11/2014,8/21/2014,36,Wholesale,AUD,GUT930,36,2,8,"3,182.50","1,973.15","25,460.00"
SO - 000187,6/12/2014,8/27/2014,47,Wholesale,AUD,FLR025,61,2,5,891.10,632.68,"4,455.50"
SO - 000188,6/12/2014,7/25/2014,27,Export,NZD,AXW291,29,13,7,"3,892.70","2,724.89","27,248.90"
SO - 000189,6/12/2014,7/27/2014,5,Export,EUR,GUT930,45,7,9,"3,953.00","3,360.05","35,577.00"
SO - 000190,6/12/2014,8/2/2014,38,Wholesale,NZD,GUT930,34,12,9,924.60,545.51,"8,321.40"
SO - 000191,6/12/2014,8/13/2014,21,Distributor,NZD,GUT930,34,5,10,"3,430.40","1,989.63","34,304.00"
SO - 000192,6/12/2014,8/17/2014,24,Wholesale,NZD,AXW291,31,7,8,"1,152.40",622.30,"9,219.20"
SO - 000193,6/12/2014,8/28/2014,25,Wholesale,USD,AXW291,24,7,5,"1,085.40",922.59,"5,427.00"
SO - 000194,6/13/2014,8/17/2014,11,Wholesale,NZD,AXW291,27,7,5,"5,031.70","4,025.36","25,158.50"
SO - 000195,6/13/2014,8/4/2014,17,Wholesale,EUR,AXW291,18,7,8,"1,092.10",436.84,"8,736.80"
SO - 000196,6/13/2014,8/29/2014,5,Export,NZD,AXW291,4,7,9,187.60,144.45,"1,688.40"
SO - 000197,6/13/2014,8/26/2014,30,Export,AUD,AXW291,17,14,9,"3,993.20","2,835.17","35,938.80"
SO - 000198,6/13/2014,8/1/2014,9,Export,NZD,FLR025,65,5,11,"2,472.30","1,433.93","27,195.30"
SO - 000199,6/13/2014,8/25/2014,47,Wholesale,AUD,AXW291,5,13,11,"1,206.00",844.20,"13,266.00"
SO - 000200,6/13/2014,8/21/2014,5,Distributor,NZD,AXW291,26,2,11,"1,728.60",985.30,"19,014.60"
SO - 000201,6/13/2014,7/17/2014,23,Wholesale,GBP,AXW291,25,1,6,"1,983.20","1,447.74","11,899.20"
SO - 000202,6/13/2014,7/24/2014,14,Wholesale,AUD,GUT930,33,7,7,"5,313.10","2,656.55","37,191.70"
SO - 000203,6/13/2014,7/28/2014,44,Export,NZD,AXW291,11,9,11,871.00,566.15,"9,581.00"
SO - 000204,6/14/2014,9/5/2014,38,Wholesale,USD,GUT930,32,7,6,"2,532.60","2,051.41","15,195.60"
SO - 000205,6/14/2014,8/26/2014,14,Wholesale,GBP,AXW291,17,13,8,"5,916.10","4,673.72","47,328.80"
SO - 000206,6/14/2014,9/8/2014,34,Wholesale,AUD,GUT930,42,2,7,"2,887.70","1,443.85","20,213.90"
SO - 000207,6/14/2014,9/7/2014,13,Wholesale,EUR,GUT930,36,5,7,"1,855.90","1,447.60","12,991.30"
SO - 000208,6/14/2014,8/13/2014,5,Distributor,NZD,AXW291,11,5,6,207.70,135.01,"1,246.20"
SO - 000209,6/14/2014,8/9/2014,2,Wholesale,USD,FLR025,62,5,6,"1,058.60",772.78,"6,351.60"
SO - 000210,6/14/2014,8/30/2014,17,Wholesale,AUD,GUT930,44,13,10,958.10,517.37,"9,581.00"
SO - 000211,6/14/2014,8/22/2014,40,Wholesale,USD,GUT930,34,13,9,"2,659.90","1,675.74","23,939.10"
SO - 000212,6/14/2014,8/11/2014,15,Distributor,AUD,AXW291,26,2,12,"2,217.70","1,707.63","26,612.40"
SO - 000213,6/15/2014,9/6/2014,12,Wholesale,USD,AXW291,8,13,7,"1,715.20",857.60,"12,006.40"
SO - 000214,6/15/2014,8/30/2014,25,Wholesale,NZD,NXH382,52,8,6,"3,932.90","1,691.15","23,597.40"
SO - 000215,6/15/2014,8/25/2014,13,Distributor,NZD,AXW291,31,7,5,"2,546.00","1,909.50","12,730.00"
SO - 000216,6/15/2014,8/9/2014,18,Distributor,NZD,NXH382,50,7,5,837.50,603.00,"4,187.50"
SO - 000217,6/15/2014,8/28/2014,3,Distributor,NZD,GUT930,40,11,10,"1,809.00","1,302.48","18,090.00"
SO - 000218,6/15/2014,8/27/2014,25,Distributor,NZD,NXH382,55,1,5,857.60,514.56,"4,288.00"
SO - 000219,6/15/2014,9/3/2014,11,Export,NZD,AXW291,2,9,8,"1,748.70","1,101.68","13,989.60"
SO - 000220,6/15/2014,8/27/2014,44,Distributor,NZD,AXW291,14,7,10,"1,266.30",582.50,"12,663.00"
SO - 000221,6/15/2014,8/12/2014,30,Wholesale,AUD,AXW291,5,5,11,"5,058.50","3,591.54","55,643.50"
SO - 000222,6/15/2014,8/28/2014,38,Distributor,GBP,AXW291,7,9,10,958.10,795.22,"9,581.00"
SO - 000223,6/15/2014,8/14/2014,47,Export,AUD,AXW291,22,9,11,"1,802.30",756.97,"19,825.30"
SO - 000224,6/16/2014,8/17/2014,17,Wholesale,USD,AXW291,9,11,11,"6,298.00","4,534.56","69,278.00"
SO - 000225,6/16/2014,7/26/2014,28,Wholesale,NZD,AXW291,1,11,6,"2,499.10","1,824.34","14,994.60"
SO - 000226,6/16/2014,8/22/2014,5,Wholesale,NZD,GUT930,36,2,8,871.00,705.51,"6,968.00"
SO - 000227,6/16/2014,7/31/2014,32,Wholesale,GBP,GUT930,44,7,6,750.40,360.19,"4,502.40"
SO - 000228,6/16/2014,8/14/2014,21,Distributor,EUR,GUT930,36,2,5,763.80,504.11,"3,819.00"
SO - 000229,6/16/2014,8/11/2014,49,Export,NZD,NXH382,55,2,11,844.20,565.61,"9,286.20"
SO - 000230,6/16/2014,8/14/2014,6,Wholesale,NZD,AXW291,6,2,5,261.30,112.36,"1,306.50"
SO - 000231,6/16/2014,7/30/2014,47,Export,GBP,AXW291,13,5,8,"3,999.90","2,359.94","31,999.20"
SO - 000232,6/16/2014,8/10/2014,32,Wholesale,USD,GUT930,45,9,7,"1,112.20",811.91,"7,785.40"
SO - 000233,6/16/2014,7/21/2014,18,Wholesale,AUD,AXW291,30,11,8,"2,633.10","1,843.17","21,064.80"
SO - 000234,6/16/2014,8/10/2014,8,Distributor,NZD,AXW291,24,10,5,"1,018.40",631.41,"5,092.00"
SO - 000235,6/16/2014,9/1/2014,24,Distributor,USD,AXW291,10,1,12,"5,219.30","3,444.74","62,631.60"
SO - 000236,6/16/2014,8/25/2014,11,Export,EUR,NXH382,47,7,11,"3,999.90","2,359.94","43,998.90"
SO - 000237,6/17/2014,8/9/2014,50,Wholesale,AUD,FLR025,62,1,10,"1,721.90","1,084.80","17,219.00"
SO - 000238,6/17/2014,8/19/2014,7,Wholesale,AUD,GUT930,35,5,9,737.00,456.94,"6,633.00"
SO - 000239,6/17/2014,7/31/2014,2,Wholesale,NZD,AXW291,6,9,9,"1,219.40",695.06,"10,974.60"
SO - 000240,6/17/2014,9/8/2014,18,Wholesale,NZD,NXH382,51,1,6,891.10,712.88,"5,346.60"
SO - 000241,6/17/2014,8/26/2014,28,Wholesale,NZD,AXW291,27,2,12,978.20,743.43,"11,738.40"
SO - 000242,6/17/2014,7/27/2014,47,Wholesale,AUD,AXW291,31,11,9,"3,946.30","1,657.45","35,516.70"
SO - 000243,6/17/2014,7/26/2014,27,Wholesale,NZD,GUT930,33,7,12,"1,299.80",922.86,"15,597.60"
SO - 000244,6/18/2014,9/4/2014,21,Distributor,USD,AXW291,14,7,5,"5,815.60","2,791.49","29,078.00"
SO - 000245,6/18/2014,8/27/2014,43,Distributor,NZD,AXW291,22,2,10,"1,092.10",655.26,"10,921.00"
SO - 000246,6/18/2014,9/1/2014,42,Wholesale,EUR,AXW291,7,7,7,"1,072.00",643.20,"7,504.00"
SO - 000247,6/18/2014,7/20/2014,34,Wholesale,NZD,GUT930,39,9,11,"4,020.00","2,653.20","44,220.00"
SO - 000248,6/18/2014,8/25/2014,37,Wholesale,USD,AXW291,12,7,9,984.90,669.73,"8,864.10"
SO - 000249,6/18/2014,8/9/2014,50,Wholesale,USD,FLR025,62,10,12,227.80,100.23,"2,733.60"
SO - 000250,6/18/2014,8/15/2014,17,Wholesale,NZD,AXW291,7,1,11,"3,993.20","3,314.36","43,925.20"
SO - 000251,6/18/2014,8/3/2014,25,Distributor,GBP,AXW291,30,1,10,221.10,185.72,"2,211.00"
SO - 000252,6/19/2014,8/23/2014,21,Distributor,NZD,AXW291,19,11,9,"3,356.70","2,819.63","30,210.30"
SO - 000253,6/19/2014,7/24/2014,35,Wholesale,NZD,NXH382,58,5,6,"1,701.80","1,157.22","10,210.80"
SO - 000254,6/19/2014,8/21/2014,9,Wholesale,NZD,NXH382,50,10,5,"2,566.10","2,181.19","12,830.50"
SO - 000255,6/19/2014,7/25/2014,22,Wholesale,NZD,AXW291,19,8,12,221.10,126.03,"2,653.20"
SO - 000256,6/19/2014,7/19/2014,28,Wholesale,USD,GUT930,45,7,9,"1,782.20",980.21,"16,039.80"
SO - 000257,6/19/2014,9/11/2014,41,Wholesale,NZD,AXW291,17,2,10,"2,003.30",801.32,"20,033.00"
SO - 000258,6/19/2014,8/12/2014,28,Wholesale,NZD,AXW291,6,7,11,"2,385.20","1,502.68","26,237.20"
SO - 000259,6/19/2014,8/17/2014,22,Wholesale,AUD,AXW291,3,9,11,"2,231.10","1,784.88","24,542.10"
SO - 000260,6/19/2014,8/19/2014,26,Wholesale,NZD,AXW291,22,1,7,"1,005.00",412.05,"7,035.00"
SO - 000261,6/19/2014,8/2/2014,12,Distributor,NZD,NXH382,53,6,12,"2,693.40","1,939.25","32,320.80"
SO - 000262,6/19/2014,8/10/2014,31,Wholesale,NZD,AXW291,20,7,8,"1,105.50",652.25,"8,844.00"
SO - 000263,6/20/2014,8/17/2014,25,Distributor,AUD,AXW291,16,12,9,"1,909.50","1,088.42","17,185.50"
SO - 000264,6/20/2014,8/29/2014,35,Distributor,NZD,GUT930,32,3,8,"1,118.90",850.36,"8,951.20"
SO - 000265,6/20/2014,8/28/2014,45,Wholesale,USD,AXW291,17,2,10,"1,038.50",758.11,"10,385.00"
SO - 000266,6/20/2014,9/16/2014,19,Distributor,AUD,AXW291,23,5,6,"6,324.80","4,300.86","37,948.80"
SO - 000267,6/20/2014,8/18/2014,16,Wholesale,USD,AXW291,3,13,6,"1,005.00",502.50,"6,030.00"
SO - 000268,6/20/2014,8/12/2014,15,Distributor,USD,GUT930,32,2,10,"1,293.10",659.48,"12,931.00"
SO - 000269,6/20/2014,8/27/2014,8,Wholesale,NZD,AXW291,14,7,5,844.20,540.29,"4,221.00"
SO - 000270,6/20/2014,7/20/2014,27,Wholesale,AUD,NXH382,58,6,8,247.90,195.84,"1,983.20"
SO - 000271,6/20/2014,7/30/2014,12,Wholesale,NZD,GUT930,39,1,12,174.20,139.36,"2,090.40"
SO - 000272,6/21/2014,8/5/2014,30,Wholesale,GBP,NXH382,50,12,9,"1,025.10",707.32,"9,225.90"
SO - 000273,6/21/2014,8/27/2014,19,Export,EUR,FLR025,62,1,9,"3,068.60","2,301.45","27,617.40"
SO - 000274,6/21/2014,8/24/2014,44,Distributor,USD,AXW291,22,7,7,241.20,115.78,"1,688.40"
SO - 000275,6/21/2014,9/10/2014,24,Distributor,NZD,GUT930,36,7,10,174.20,139.36,"1,742.00"
SO - 000276,6/21/2014,8/5/2014,10,Export,USD,AXW291,6,13,7,"2,505.80","1,804.18","17,540.60"
SO - 000277,6/21/2014,9/7/2014,35,Wholesale,AUD,GUT930,42,11,11,"2,599.60","1,637.75","28,595.60"
SO - 000278,6/21/2014,8/29/2014,38,Export,NZD,AXW291,28,2,12,"2,278.00","1,503.48","27,336.00"
SO - 000279,6/22/2014,8/1/2014,31,Wholesale,NZD,FLR025,64,13,12,"1,092.10",589.73,"13,105.20"
SO - 000280,6/22/2014,9/14/2014,40,Wholesale,AUD,AXW291,8,7,9,"1,139.00",933.98,"10,251.00"
SO - 000281,6/22/2014,9/7/2014,9,Export,NZD,FLR025,61,7,11,"1,675.00","1,072.00","18,425.00"
SO - 000282,6/22/2014,8/6/2014,41,Export,USD,GUT930,41,11,7,"1,011.70",687.96,"7,081.90"
SO - 000283,6/22/2014,8/24/2014,11,Wholesale,NZD,AXW291,23,6,12,938.00,412.72,"11,256.00"
SO - 000284,6/22/2014,9/18/2014,48,Distributor,NZD,AXW291,10,5,10,"2,566.10","1,052.10","25,661.00"
SO - 000285,6/23/2014,9/14/2014,4,Wholesale,NZD,GUT930,32,2,12,871.00,374.53,"10,452.00"
SO - 000286,6/23/2014,8/15/2014,4,Wholesale,AUD,AXW291,15,1,9,"2,485.70","1,789.70","22,371.30"
SO - 000287,6/23/2014,8/27/2014,40,Distributor,USD,FLR025,66,6,9,"2,345.00","1,922.90","21,105.00"
SO - 000288,6/23/2014,9/10/2014,19,Distributor,AUD,AXW291,9,9,12,"1,118.90",749.66,"13,426.80"
SO - 000289,6/23/2014,9/20/2014,24,Wholesale,EUR,AXW291,2,2,7,"1,996.60","1,397.62","13,976.20"
SO - 000290,6/23/2014,8/27/2014,6,Distributor,USD,AXW291,23,2,6,710.20,390.61,"4,261.20"
SO - 000291,6/23/2014,9/21/2014,6,Export,USD,GUT930,37,10,6,"3,979.80","1,790.91","23,878.80"
SO - 000292,6/23/2014,7/23/2014,9,Distributor,GBP,FLR025,61,11,6,"1,025.10",440.79,"6,150.60"
SO - 000293,6/23/2014,8/2/2014,3,Distributor,USD,GUT930,36,7,8,"2,519.20","1,309.98","20,153.60"
SO - 000294,6/23/2014,8/17/2014,36,Wholesale,USD,AXW291,27,11,8,"5,031.70","3,471.87","40,253.60"
SO - 000295,6/24/2014,8/15/2014,27,Wholesale,NZD,NXH382,56,6,10,"1,829.10",768.22,"18,291.00"
SO - 000296,6/24/2014,8/7/2014,29,Wholesale,AUD,NXH382,55,11,11,"1,072.00",900.48,"11,792.00"
SO - 000297,6/24/2014,8/5/2014,11,Wholesale,EUR,GUT930,45,1,10,"2,539.30","1,828.30","25,393.00"
SO - 000298,6/24/2014,8/31/2014,24,Distributor,GBP,NXH382,48,13,8,"3,899.40","2,027.69","31,195.20"
SO - 000299,6/25/2014,8/24/2014,38,Wholesale,NZD,FLR025,66,5,7,"5,045.10","3,380.22","35,315.70"
SO - 000300,6/25/2014,9/10/2014,38,Wholesale,EUR,AXW291,23,11,11,"1,005.00",522.60,"11,055.00"
SO - 000301,6/25/2014,7/29/2014,20,Wholesale,AUD,GUT930,33,2,11,"2,438.80","1,219.40","26,826.80"
SO - 000302,6/26/2014,8/21/2014,46,Distributor,USD,AXW291,28,7,6,"3,336.60","2,035.33","20,019.60"
SO - 000303,6/26/2014,7/31/2014,38,Wholesale,AUD,GUT930,46,5,6,"1,098.80",857.06,"6,592.80"
SO - 000304,6/26/2014,9/15/2014,5,Wholesale,EUR,AXW291,12,2,11,"1,902.80",970.43,"20,930.80"
SO - 000305,6/26/2014,9/15/2014,32,Wholesale,AUD,AXW291,28,1,11,"3,477.30","2,190.70","38,250.30"
SO - 000306,6/27/2014,9/15/2014,36,Distributor,NZD,GUT930,36,7,10,"2,599.60","1,481.77","25,996.00"
SO - 000307,6/27/2014,8/11/2014,1,Wholesale,AUD,NXH382,54,10,12,"1,078.70",506.99,"12,944.40"
SO - 000308,6/27/2014,8/4/2014,22,Distributor,AUD,GUT930,36,2,11,"1,045.20",533.05,"11,497.20"
SO - 000309,6/27/2014,9/16/2014,21,Export,GBP,AXW291,29,7,11,"1,125.60",787.92,"12,381.60"
SO - 000310,6/27/2014,8/8/2014,14,Export,USD,GUT930,34,7,12,"1,105.50",762.80,"13,266.00"
SO - 000311,6/27/2014,9/2/2014,50,Export,NZD,AXW291,16,9,10,"2,606.30","1,668.03","26,063.00"
SO - 000312,6/27/2014,9/1/2014,41,Wholesale,NZD,GUT930,41,5,7,227.80,95.68,"1,594.60"
SO - 000313,6/27/2014,8/30/2014,35,Wholesale,NZD,GUT930,33,11,8,167.50,123.95,"1,340.00"
SO - 000314,6/27/2014,9/14/2014,21,Wholesale,NZD,GUT930,45,1,6,"1,145.70",538.48,"6,874.20"
SO - 000315,6/27/2014,8/12/2014,37,Wholesale,AUD,NXH382,59,7,7,"2,599.60","2,157.67","18,197.20"
SO - 000316,6/28/2014,8/28/2014,14,Wholesale,NZD,AXW291,25,7,5,"3,939.60","1,969.80","19,698.00"
SO - 000317,6/28/2014,9/9/2014,18,Distributor,AUD,AXW291,20,7,6,"2,881.00","1,584.55","17,286.00"
SO - 000318,6/28/2014,9/15/2014,22,Distributor,NZD,AXW291,20,5,8,"3,852.50","2,003.30","30,820.00"
SO - 000319,6/28/2014,8/10/2014,48,Export,USD,AXW291,10,13,7,"1,139.00",546.72,"7,973.00"
SO - 000320,6/28/2014,8/1/2014,7,Distributor,AUD,GUT930,35,13,8,"2,519.20","2,040.55","20,153.60"
SO - 000321,6/28/2014,9/9/2014,33,Distributor,NZD,AXW291,15,2,12,"1,192.60",703.63,"14,311.20"
SO - 000322,6/28/2014,8/31/2014,18,Wholesale,GBP,GUT930,39,5,11,"2,412.00","1,013.04","26,532.00"
SO - 000323,6/28/2014,9/25/2014,6,Wholesale,USD,AXW291,24,7,9,"2,479.00","2,057.57","22,311.00"
